timestamp, label
64144.23098501, Session Started
64162.64800118, Exposition
64294.92729457, Discussion
64617.3119222, Exposition
64655.60916331, Discussion
64730.30535713, Exposition
64879.64465455, Exploration
64899.64997232, Exposition
64942.05382503, Discussion
64965.10690994, Exploration
65206.92471121, Exposition
65250.56006073, Combat
66788.0224297, Exposition
66808.16392119, Discussion
66848.17537369, Exploration
66851.11251429, Exposition
66872.96252665, Exploration
66985.67532678, Exposition
67035.5756835, Exploration
67405.1499882, Exposition
67650.89064091, Exposition
67696.45857034, Exposition
67806.19753636, Exploration
67845.10605787, Exposition
67889.6109222, Discussion
68118.98684201, Session Started
